,Time,Close,Date,1 Mo,2 Mo,3 Mo,4 Mo,6 Mo,1 Yr,2 Yr,3 Yr,5 Yr,7 Yr,10 Yr,20 Yr,30 Yr,Time
64,2005-05-01 00:00:00-04:00,1542.6300048828125,4/5/23,4.62,4.77,4.86,4.9,4.82,4.43,3.79,3.55,3.36,3.34,3.3,3.67,3.56,2023-04-05
65,2005-06-01 00:00:00-04:00,1493.52001953125,4/6/23,4.57,4.85,4.91,4.98,4.93,4.51,3.82,3.59,3.37,3.34,3.3,3.66,3.54,2023-04-06
66,2005-07-01 00:00:00-04:00,1605.1400146484375,4/7/23,4.56,4.9,4.95,5.07,4.95,4.61,3.97,3.72,3.49,3.45,3.39,3.73,3.61,2023-04-07
67,2005-08-01 00:00:00-04:00,1581.7099609375,4/10/23,4.53,4.89,5.08,5.08,4.98,4.65,4.0,3.75,3.52,3.47,3.41,3.74,3.62,2023-04-10
68,2005-09-01 00:00:00-04:00,1601.6600341796875,4/11/23,4.27,4.89,5.04,5.06,4.99,4.67,4.03,3.76,3.54,3.48,3.43,3.75,3.62,2023-04-11
69,2005-10-01 00:00:00-04:00,1579.1800537109375,4/12/23,4.27,4.89,5.02,5.1,4.98,4.64,3.95,3.68,3.46,3.43,3.41,3.75,3.64,2023-04-12
70,2005-11-01 00:00:00-05:00,1672.56005859375,4/13/23,4.08,4.96,5.1,5.1,4.95,4.66,3.96,3.7,3.51,3.48,3.45,3.8,3.69,2023-04-13
71,2005-12-01 00:00:00-05:00,1645.199951171875,4/14/23,4.29,4.98,5.14,5.16,5.03,4.77,4.08,3.83,3.6,3.56,3.52,3.85,3.74,2023-04-14
72,2006-01-01 00:00:00-05:00,1710.75,4/17/23,4.09,5.04,5.21,5.24,5.07,4.8,4.18,3.92,3.69,3.64,3.6,3.92,3.81,2023-04-17
73,2006-02-01 00:00:00-05:00,1670.5699462890625,4/18/23,3.89,5.04,5.2,5.19,5.09,4.81,4.19,3.92,3.69,3.63,3.58,3.91,3.79,2023-04-18
74,2006-03-01 00:00:00-05:00,1703.6600341796875,4/19/23,3.95,5.03,5.16,5.22,5.1,4.84,4.24,3.97,3.71,3.66,3.6,3.9,3.79,2023-04-19
75,2006-04-01 00:00:00-05:00,1700.7099609375,4/20/23,3.4,5.04,5.12,5.17,5.06,4.77,4.14,3.87,3.63,3.59,3.54,3.87,3.75,2023-04-20
76,2006-05-01 00:00:00-04:00,1579.5799560546875,4/21/23,3.36,4.98,5.14,5.19,5.07,4.78,4.17,3.89,3.66,3.62,3.57,3.9,3.78,2023-04-21
77,2006-06-01 00:00:00-04:00,1575.22998046875,4/24/23,3.54,5.09,5.2,5.15,5.06,4.76,4.12,3.84,3.6,3.56,3.52,3.85,3.73,2023-04-24
78,2006-07-01 00:00:00-04:00,1509.4300537109375,4/25/23,4.11,5.05,5.12,5.11,4.98,4.6,3.86,3.62,3.43,3.42,3.4,3.77,3.65,2023-04-25
79,2006-08-01 00:00:00-04:00,1579.72998046875,4/26/23,3.91,5.07,5.16,5.17,5.0,4.64,3.9,3.65,3.46,3.45,3.43,3.81,3.7,2023-04-26
80,2006-09-01 00:00:00-04:00,1654.1300048828125,4/27/23,4.27,5.13,5.18,5.21,5.05,4.78,4.07,3.82,3.6,3.57,3.53,3.88,3.76,2023-04-27
81,2006-10-01 00:00:00-04:00,1732.5400390625,4/28/23,4.35,5.14,5.1,5.2,5.06,4.8,4.04,3.75,3.51,3.49,3.44,3.8,3.67,2023-04-28
82,2006-11-01 00:00:00-05:00,1791.25,5/1/23,4.49,5.17,5.27,5.22,5.14,4.86,4.14,3.85,3.64,3.62,3.59,3.95,3.84,2023-05-01
83,2006-12-01 00:00:00-05:00,1756.9000244140625,5/2/23,4.56,5.33,5.24,5.19,5.06,4.74,3.97,3.67,3.46,3.44,3.44,3.82,3.72,2023-05-02
84,2007-01-01 00:00:00-05:00,1792.280029296875,5/3/23,4.7,5.33,5.26,5.25,5.08,4.7,3.89,3.58,3.37,3.37,3.38,3.79,3.7,2023-05-03
85,2007-02-01 00:00:00-05:00,1761.5999755859375,5/4/23,5.76,5.24,5.26,5.23,5.04,4.59,3.75,3.47,3.29,3.32,3.37,3.8,3.73,2023-05-04
86,2007-03-01 00:00:00-05:00,1772.3599853515625,5/5/23,5.59,5.23,5.26,5.26,5.13,4.73,3.92,3.63,3.41,3.41,3.44,3.85,3.76,2023-05-05
87,2007-04-01 00:00:00-04:00,1867.75,5/8/23,5.51,5.17,5.31,5.26,5.14,4.79,4.0,3.7,3.49,3.5,3.52,3.92,3.84,2023-05-08
88,2007-05-01 00:00:00-04:00,1928.18994140625,5/9/23,5.56,5.16,5.29,5.27,5.18,4.81,4.01,3.67,3.51,3.51,3.53,3.94,3.85,2023-05-09
89,2007-06-01 00:00:00-04:00,1934.0999755859373,5/10/23,5.5,4.99,5.24,5.24,5.13,4.7,3.9,3.55,3.37,3.4,3.43,3.88,3.8,2023-05-10
90,2007-07-01 00:00:00-04:00,1932.06005859375,5/11/23,5.81,4.82,5.2,5.23,5.14,4.7,3.89,3.56,3.36,3.37,3.39,3.82,3.73,2023-05-11
91,2007-08-01 00:00:00-04:00,1988.72998046875,5/12/23,5.79,4.87,5.25,5.27,5.16,4.75,3.98,3.65,3.45,3.45,3.46,3.87,3.78,2023-05-12
92,2007-09-01 00:00:00-04:00,2091.110107421875,5/15/23,5.64,4.97,5.21,5.26,5.24,4.73,3.99,3.67,3.46,3.48,3.5,3.92,3.84,2023-05-15
93,2007-10-01 00:00:00-04:00,2238.97998046875,5/16/23,5.58,4.98,5.23,5.24,5.26,4.88,4.06,3.74,3.52,3.53,3.54,3.96,3.87,2023-05-16
94,2007-11-01 00:00:00-04:00,2089.10009765625,5/17/23,5.5,5.06,5.26,5.36,5.3,4.92,4.12,3.8,3.58,3.58,3.57,3.96,3.88,2023-05-17
95,2007-12-01 00:00:00-05:00,2084.929931640625,5/18/23,5.59,5.22,5.31,5.43,5.38,5.02,4.24,3.94,3.69,3.67,3.65,4.02,3.91,2023-05-18
96,2008-01-01 00:00:00-05:00,1841.4200439453125,5/19/23,5.62,5.27,5.29,5.46,5.36,5.02,4.28,3.98,3.76,3.74,3.7,4.07,3.95,2023-05-19
97,2008-02-01 00:00:00-05:00,1745.27001953125,5/22/23,5.69,5.35,5.4,5.5,5.43,5.07,4.29,3.98,3.77,3.74,3.72,4.09,3.97,2023-05-22
98,2008-03-01 00:00:00-05:00,1781.9300537109375,5/23/23,5.67,5.26,5.34,5.42,5.39,5.06,4.26,3.99,3.76,3.73,3.7,4.08,3.96,2023-05-23
99,2008-04-01 00:00:00-04:00,1917.699951171875,5/24/23,5.73,5.22,5.37,5.52,5.42,5.12,4.31,4.04,3.75,3.76,3.73,4.1,3.97,2023-05-24
100,2008-05-01 00:00:00-04:00,2032.5699462890625,5/25/23,5.95,5.44,5.38,5.55,5.46,5.24,4.5,4.21,3.9,3.86,3.83,4.16,4.01,2023-05-25
101,2008-06-01 00:00:00-04:00,1837.0899658203125,5/26/23,6.02,5.47,5.34,5.55,5.44,5.25,4.54,4.23,3.92,3.86,3.8,4.13,3.96,2023-05-26
102,2008-07-01 00:00:00-04:00,1849.1500244140625,5/30/23,5.31,5.31,5.55,5.54,5.52,5.22,4.46,4.1,3.81,3.75,3.69,4.06,3.9,2023-05-30
103,2008-08-01 00:00:00-04:00,1872.5400390625,5/31/23,5.28,5.37,5.52,5.53,5.46,5.18,4.4,4.04,3.74,3.69,3.64,4.01,3.85,2023-05-31
104,2008-09-01 00:00:00-04:00,1594.6300048828125,6/1/23,5.3,5.39,5.5,5.5,5.44,5.11,4.33,3.98,3.7,3.66,3.61,3.98,3.84,2023-06-01
105,2008-10-01 00:00:00-04:00,1334.780029296875,6/2/23,5.28,5.39,5.5,5.52,5.5,5.22,4.5,4.13,3.84,3.78,3.69,4.03,3.88,2023-06-02
106,2008-11-01 00:00:00-04:00,1185.75,6/5/23,5.25,5.35,5.46,5.47,5.46,5.17,4.46,4.1,3.82,3.77,3.69,4.03,3.89,2023-06-05
107,2008-12-01 00:00:00-05:00,1211.6500244140625,6/6/23,5.15,5.26,5.44,5.44,5.44,5.2,4.51,4.15,3.85,3.78,3.7,4.02,3.87,2023-06-06
108,2009-01-01 00:00:00-05:00,1180.25,6/7/23,5.07,5.26,5.42,5.42,5.43,5.16,4.56,4.21,3.93,3.88,3.79,4.12,3.95,2023-06-07
109,2009-02-01 00:00:00-05:00,1116.989990234375,6/8/23,5.25,5.29,5.38,5.42,5.39,5.12,4.52,4.17,3.87,3.8,3.73,4.05,3.89,2023-06-08
110,2009-03-01 00:00:00-05:00,1237.010009765625,6/9/23,5.25,5.32,5.37,5.45,5.39,5.17,4.59,4.23,3.92,3.84,3.75,4.05,3.89,2023-06-09
111,2009-04-01 00:00:00-04:00,1394.3299560546875,6/12/23,5.24,5.31,5.4,5.43,5.38,5.18,4.55,4.16,3.89,3.82,3.73,4.04,3.87,2023-06-12
112,2009-05-01 00:00:00-04:00,1435.5699462890625,6/13/23,5.19,5.24,5.36,5.37,5.36,5.26,4.67,4.3,4.01,3.94,3.84,4.12,3.94,2023-06-13
113,2009-06-01 00:00:00-04:00,1477.25,6/14/23,5.18,5.25,5.36,5.37,5.36,5.27,4.74,4.37,4.06,3.95,3.83,4.09,3.9,2023-06-14
114,2009-07-01 00:00:00-04:00,1603.3599853515625,6/15/23,5.18,5.25,5.33,5.37,5.33,5.21,4.62,4.23,3.91,3.82,3.72,4.02,3.85,2023-06-15
115,2009-08-01 00:00:00-04:00,1625.18994140625,6/16/23,5.18,5.27,5.34,5.38,5.35,5.24,4.7,4.32,3.99,3.88,3.77,4.05,3.86,2023-06-16
116,2009-09-01 00:00:00-04:00,1718.989990234375,6/20/23,5.17,5.26,5.39,5.39,5.41,5.24,4.68,4.29,3.96,3.85,3.74,4.01,3.83,2023-06-20
117,2009-10-01 00:00:00-04:00,1667.1300048828125,6/21/23,5.16,5.27,5.4,5.44,5.41,5.25,4.68,4.29,3.95,3.84,3.72,3.99,3.81,2023-06-21
118,2009-11-01 00:00:00-04:00,1767.4300537109375,6/22/23,5.18,5.31,5.4,5.44,5.41,5.29,4.77,4.37,4.03,3.92,3.8,4.06,3.88,2023-06-22
119,2009-12-01 00:00:00-05:00,1860.31005859375,6/23/23,5.17,5.3,5.41,5.44,5.41,5.25,4.71,4.32,3.99,3.88,3.74,4.01,3.82,2023-06-23
120,2010-01-01 00:00:00-05:00,1741.0400390625,6/26/23,5.17,5.31,5.5,5.44,5.45,5.27,4.65,4.3,3.96,3.85,3.72,4.01,3.83,2023-06-26
121,2010-02-01 00:00:00-05:00,1818.6800537109373,6/27/23,5.17,5.31,5.44,5.44,5.46,5.33,4.74,4.38,4.02,3.9,3.77,4.03,3.84,2023-06-27
122,2010-03-01 00:00:00-05:00,1958.3399658203125,6/28/23,5.17,5.32,5.44,5.49,5.47,5.32,4.71,4.32,3.97,3.83,3.71,4.0,3.81,2023-06-28
123,2010-04-01 00:00:00-04:00,2000.6300048828125,6/29/23,5.25,5.4,5.46,5.51,5.5,5.41,4.87,4.49,4.14,3.99,3.85,4.11,3.92,2023-06-29
124,2010-05-01 00:00:00-04:00,1852.3900146484373,6/30/23,5.24,5.39,5.43,5.5,5.47,5.4,4.87,4.49,4.13,3.97,3.81,4.06,3.85,2023-06-30
125,2010-06-01 00:00:00-04:00,1739.1400146484375,7/3/23,5.27,5.4,5.44,5.52,5.53,5.43,4.94,4.56,4.19,4.03,3.86,4.08,3.87,2023-07-03
126,2010-07-01 00:00:00-04:00,1864.0,7/5/23,5.28,5.38,5.44,5.51,5.52,5.4,4.94,4.59,4.25,4.11,3.95,4.17,3.95,2023-07-05
127,2010-08-01 00:00:00-04:00,1767.4300537109375,7/6/23,5.32,5.47,5.46,5.52,5.54,5.44,4.99,4.68,4.37,4.22,4.05,4.23,4.01,2023-07-06
128,2010-09-01 00:00:00-04:00,1998.0400390625,7/7/23,5.32,5.47,5.46,5.52,5.53,5.41,4.94,4.64,4.35,4.23,4.06,4.27,4.05,2023-07-07
129,2010-10-01 00:00:00-04:00,2124.449951171875,7/10/23,5.34,5.47,5.48,5.53,5.54,5.38,4.85,4.54,4.25,4.14,4.01,4.24,4.05,2023-07-10
130,2010-11-01 00:00:00-04:00,2117.330078125,7/11/23,5.35,5.48,5.49,5.53,5.55,5.44,4.88,4.52,4.24,4.13,3.99,4.22,4.03,2023-07-11
