date,Unnamed: 0.1,Unnamed: 0,symbol,expiration,strike,last,type,volume,open_interest,implied_volatility,delta,gamma,theta,vega,rho,T,bs_price,adjusted_price,date
2025-09-19,1020,1020,IBM,2025-09-19,330.0,2.44,call,0,47,0.27501,0.12642,0.00418,-0.03115,0.37467,0.1483,0.50411,0.000326628,0.0003328152,2025-09-19
2025-09-19,1022,1022,IBM,2025-09-19,340.0,2.69,call,0,98,0.2776,0.09999,0.0035,-0.02639,0.31689,0.11773,0.50411,0.0002007296,2.69,2025-09-19
2025-09-19,1024,1024,IBM,2025-09-19,350.0,2.07,call,5,1198,0.27364,0.07333,0.00282,-0.02051,0.25127,0.08689,0.50411,7.659264e-05,2.07,2025-09-19
2025-09-19,1026,1026,IBM,2025-09-19,360.0,2.44,call,0,105,0.28446,0.06334,0.00242,-0.0189,0.2244,0.07497,0.50411,9.055638e-05,2.44,2025-09-19
2025-09-19,1028,1028,IBM,2025-09-19,370.0,1.4,call,0,4,0.28995,0.05187,0.00203,-0.01638,0.19178,0.06148,0.50411,7.32151e-05,7.392459e-05,2025-09-19
2025-09-19,1030,1030,IBM,2025-09-19,380.0,1.31,call,0,4,0.31403,0.05429,0.00194,-0.01827,0.19883,0.06387,0.50411,0.0002158672,0.0002180342,2025-09-19
2025-10-17,1035,1035,IBM,2025-10-17,130.0,0.4,put,1,0,0.43522,-0.01253,0.00038,-0.00596,0.0628,-0.02099,0.580822,9.528564,9.558665,2025-10-17
2025-10-17,1046,1046,IBM,2025-10-17,160.0,88.07,call,0,1,0.02744,1.0,0.0,-0.01851,0.0,0.91457,0.580822,0.005867925,0.005867925,2025-10-17
2025-10-17,1048,1048,IBM,2025-10-17,165.0,98.35,call,0,40,0.02596,1.0,0.0,-0.01908,0.0,0.94315,0.580822,7.776101e-06,7.776101e-06,2025-10-17
2025-10-17,1051,1051,IBM,2025-10-17,170.0,1.91,put,6,5,0.38065,-0.05518,0.00151,-0.01733,0.21604,-0.09322,0.580822,28.73323,29.04578,2025-10-17
2025-10-17,1061,1061,IBM,2025-10-17,195.0,4.48,put,10,2,0.35351,-0.11689,0.00287,-0.02738,0.38036,-0.19929,0.580822,47.07107,47.97302,2025-10-17
2025-10-17,1064,1064,IBM,2025-10-17,205.0,49.27,call,0,1,0.27211,0.89161,0.00353,-0.04301,0.36038,0.99338,0.580822,1.18106,1.20255,2025-10-17
2025-10-17,1069,1069,IBM,2025-10-17,215.0,8.1,put,1,2,0.33735,-0.19571,0.00423,-0.03536,0.53524,-0.33757,0.580822,64.36307,66.09917,2025-10-17
2025-10-17,1070,1070,IBM,2025-10-17,220.0,46.24,call,0,3,0.28797,0.80475,0.00495,-0.05475,0.53447,0.92847,0.580822,0.7354895,0.7553264,2025-10-17
2025-10-17,1071,1071,IBM,2025-10-17,220.0,9.2,put,12,40,0.34178,-0.22319,0.00451,-0.03832,0.57827,-0.3881,0.580822,69.07883,71.09172,2025-10-17
2025-10-17,1072,1072,IBM,2025-10-17,225.0,38.05,call,0,3,0.28659,0.77618,0.00539,-0.05714,0.5792,0.90718,0.580822,0.562341,0.5787779,2025-10-17
2025-10-17,1074,1074,IBM,2025-10-17,230.0,33.95,call,0,1,0.28065,0.74811,0.00587,-0.05848,0.61799,0.88737,0.580822,0.387285,0.3993656,2025-10-17
